3189,2009-05-13 17:07:00,1,26,93
3189,2009-05-13 17:08:00,1,24,100
3189,2009-05-13 17:09:00,1,17,106
3189,2009-05-13 17:10:00,1,29,97
3189,2009-05-13 17:11:00,1,14,95
3189,2009-05-13 17:12:00,1,20,104
3189,2009-05-13 17:13:00,1,22,98
3189,2009-05-13 17:14:00,1,26,87
3189,2009-05-13 17:15:00,1,22,93
3189,2009-05-13 17:16:00,1,43,88
3189,2009-05-13 17:17:00,1,13,103
3189,2009-05-13 17:18:00,1,26,98
3189,2009-05-13 17:19:00,1,10,109
3189,2009-05-13 17:20:00,1,30,96
3189,2009-05-13 17:21:00,1,28,93
3189,2009-05-13 17:22:00,1,30,95
3189,2009-05-13 17:23:00,1,25,96
3189,2009-05-13 17:24:00,1,25,96
3189,2009-05-13 17:25:00,1,24,102
3189,2009-05-13 17:26:00,1,35,94
3189,2009-05-13 17:27:00,1,37,96
3189,2009-05-13 17:28:00,1,22,100
3189,2009-05-13 17:29:00,1,28,96
3189,2009-05-13 17:30:00,1,43,92
3189,2009-05-13 17:31:00,1,28,98
3189,2009-05-13 17:32:00,1,24,98
3189,2009-05-13 17:33:00,1,30,91
3189,2009-05-13 17:34:00,1,16,104
3189,2009-05-13 17:35:00,1,35,96
3189,2009-05-13 17:36:00,1,36,90
3189,2009-05-13 17:37:00,1,19,91
3189,2009-05-13 17:38:00,1,33,96
3189,2009-05-13 17:39:00,1,18,86
3189,2009-05-13 17:40:00,1,28,94
3189,2009-05-13 17:41:00,1,31,93
3189,2009-05-13 17:42:00,1,32,99
3189,2009-05-13 17:43:00,1,20,100
3189,2009-05-13 17:44:00,1,26,105
3189,2009-05-13 17:45:00,1,31,90
3189,2009-05-13 17:46:00,1,31,93
3189,2009-05-13 17:47:00,1,24,100
3189,2009-05-13 17:48:00,1,27,89
3189,2009-05-13 17:49:00,1,21,99
3189,2009-05-13 17:50:00,1,22,91
3189,2009-05-13 17:51:00,1,23,96
3189,2009-05-13 17:52:00,1,34,98
3189,2009-05-13 17:53:00,1,23,96
3189,2009-05-13 17:54:00,1,29,101
3189,2009-05-13 17:55:00,1,20,102
3189,2009-05-13 17:56:00,1,28,94
3189,2009-05-13 17:57:00,1,22,99
3189,2009-05-13 17:58:00,1,24,98
3189,2009-05-13 17:59:00,1,19,95
3189,2009-05-13 18:00:00,1,27,99
3189,2009-05-13 18:01:00,1,30,102
3189,2009-05-13 18:02:00,1,27,103
3189,2009-05-13 18:03:00,1,27,102
3189,2009-05-13 18:04:00,1,26,98
3189,2009-05-13 18:05:00,1,27,97
3189,2009-05-13 18:06:00,1,12,109
3189,2009-05-13 18:07:00,1,18,104
3189,2009-05-13 18:08:00,1,23,107
3189,2009-05-13 18:09:00,1,22,101
3189,2009-05-13 18:10:00,1,17,103
3189,2009-05-13 18:11:00,1,28,97
3189,2009-05-13 18:12:00,1,16,99
3189,2009-05-13 18:13:00,1,15,103
3189,2009-05-13 18:14:00,1,25,100
3189,2009-05-13 18:15:00,1,24,101
3189,2009-05-13 18:16:00,1,26,97
3189,2009-05-13 18:17:00,1,28,97
3189,2009-05-13 18:18:00,1,18,104
3189,2009-05-13 18:19:00,1,11,110
3189,2009-05-13 18:20:00,1,16,102
3189,2009-05-13 18:21:00,1,9,107
3189,2009-05-13 18:22:00,1,10,104
3189,2009-05-13 18:23:00,1,18,101
3189,2009-05-13 18:24:00,1,17,102
